coin,horizon,seed,sharpe_har,sharpe_lstm,sharpe_bh,delta_sharpe_lstm_vs_har,lw_se,t_stat,mse_har,mse_lstm,mse_reduction_pct,loss_fn,n_obs,lstm_preds,har_preds,dm_stat,dm_pvalue,mean_loss_diff,dm_verdict
XRP-USD,5,42,-0.9646956510080786,-0.9897897247103712,-0.6804321826024334,-0.025094073702292552,0.007154106815729189,-3.507645936613656,0.3736332292536349,0.4201557569558237,12.451389239421133,mse,575,575,575,1.4958675352188109,0.13523777162168749,0.046522527702188746,INCONCLUSIVE
XRP-USD,10,0,-1.1335625442685546,-1.0611773913862474,-0.8362874904122596,0.07238515288230718,0.0068509097128623755,10.56577241799089,0.3084141220360086,0.42084692838418336,36.455142068704546,mse,550,550,550,2.0625073944468904,0.03962930083533056,0.11243280634817472,BEATEN BY baseline
XRP-USD,10,1,-1.1335625442685546,-1.0642821979019264,-0.8362874904122596,0.06928034636662828,0.006626018227605425,10.455803770353569,0.3084141220360086,0.4063275451931134,31.74738643961091,mse,550,550,550,2.1797664177755953,0.029698931785951732,0.0979134231571049,BEATEN BY baseline
XRP-USD,10,7,-1.1335625442685546,-1.145991647310704,-0.8362874904122596,-0.012429103042149281,0.007080305145011949,-1.7554473695114035,0.3084141220360086,0.36797832738227654,19.313060294727226,mse,550,550,550,1.4971583279561749,0.13492674886491773,0.059564205346267905,INCONCLUSIVE
XRP-USD,10,42,-1.1335625442685546,-0.9930128279928715,-0.8362874904122596,0.14054971627568313,0.007030563541406713,19.99124471998744,0.3084141220360086,0.3931062041070958,27.46050716224955,mse,550,550,550,2.0479203478919583,0.041043006458322484,0.08469208207108718,BEATEN BY baseline
ADA-USD,1,0,-1.373792586015122,-1.4132862341456416,-1.1777763392532288,-0.039493648130519476,0.004127202138974665,-9.569109241722535,0.6464126380744101,0.6982752552341844,8.02314405768229,mse,595,595,595,1.6848742877937166,0.09253809371151234,0.05186261715977438,INCONCLUSIVE
ADA-USD,1,1,-1.373792586015122,-1.3504565579220844,-1.1777763392532288,0.023336028093037697,0.002580660681838538,9.042656501594944,0.6464126380744101,0.6906389223810281,6.841803780068889,mse,595,595,595,1.5406127988208327,0.12394357792144572,0.044226284306618034,INCONCLUSIVE
ADA-USD,1,7,-1.373792586015122,-1.5486454369675944,-1.1777763392532288,-0.17485285095247227,0.008335061850415089,-20.977990816440617,0.6464126380744101,0.7089862112084528,9.68012836513258,mse,595,595,595,2.2937274740917992,0.022154394395670796,0.0625735731340428,BEATEN BY baseline
ADA-USD,1,42,-1.373792586015122,-1.4411108651282805,-1.1777763392532288,-0.06731827911315835,0.00557378904132954,-12.077651058193016,0.6464126380744101,0.6853554795676068,6.024455463804516,mse,595,595,595,1.5536876961025894,0.12079154033935025,0.03894284149319672,INCONCLUSIVE
ADA-USD,5,0,-1.7875678411718585,-1.7234372488137688,-1.0392396124154162,0.06413059235808971,0.006023234776493744,10.647201169771025,0.31758288291151204,0.36298434255879314,14.295940395481352,mse,575,575,575,1.7104372171491649,0.08772540449772648,0.04540145964728104,INCONCLUSIVE
