family,instance_id,node_id,candidate,domain_size,domain_ratio,degree,degree_ratio,weighted_degree,activity,dom_wdeg,progress,neighbor_domain_min,neighbor_domain_mean,neighbor_domain_max,label
queens,queens-9,queens-9:4,q8,4.0,0.4444444444444444,5.0,0.625,5.0,3.0,0.8,0.3333333333333333,2.0,3.2,4.0,0
queens,queens-9,queens-9:5,q3,3.0,0.3333333333333333,5.0,0.625,7.0,6.0,0.42857142857142855,0.3333333333333333,3.0,3.8,5.0,0
queens,queens-9,queens-9:5,q4,3.0,0.3333333333333333,5.0,0.625,7.0,6.0,0.42857142857142855,0.3333333333333333,3.0,3.8,5.0,0
queens,queens-9,queens-9:5,q5,4.0,0.4444444444444444,5.0,0.625,15.0,4.0,0.26666666666666666,0.3333333333333333,3.0,3.6,5.0,1
queens,queens-9,queens-9:5,q6,3.0,0.3333333333333333,5.0,0.625,7.0,6.0,0.42857142857142855,0.3333333333333333,3.0,3.8,5.0,0
queens,queens-9,queens-9:5,q7,4.0,0.4444444444444444,5.0,0.625,7.0,6.0,0.5714285714285714,0.3333333333333333,3.0,3.6,5.0,0
queens,queens-9,queens-9:5,q8,5.0,0.5555555555555556,5.0,0.625,7.0,6.0,0.7142857142857143,0.3333333333333333,3.0,3.4,4.0,0
queens,queens-9,queens-9:6,q3,1.0,0.1111111111111111,4.0,0.5,4.0,8.0,0.25,0.4444444444444444,1.0,1.0,1.0,1
queens,queens-9,queens-9:6,q4,1.0,0.1111111111111111,4.0,0.5,4.0,8.0,0.25,0.4444444444444444,1.0,1.0,1.0,0
queens,queens-9,queens-9:6,q6,1.0,0.1111111111111111,4.0,0.5,4.0,8.0,0.25,0.4444444444444444,1.0,1.0,1.0,0
queens,queens-9,queens-9:6,q7,1.0,0.1111111111111111,4.0,0.5,4.0,8.0,0.25,0.4444444444444444,1.0,1.0,1.0,0
queens,queens-9,queens-9:6,q8,1.0,0.1111111111111111,4.0,0.5,4.0,8.0,0.25,0.4444444444444444,1.0,1.0,1.0,0
queens,queens-9,queens-9:7,q4,1.0,0.1111111111111111,3.0,0.375,3.0,8.0,0.3333333333333333,0.5555555555555556,1.0,1.0,1.0,1
queens,queens-9,queens-9:7,q6,1.0,0.1111111111111111,3.0,0.375,3.0,8.0,0.3333333333333333,0.5555555555555556,1.0,1.0,1.0,0
queens,queens-9,queens-9:7,q7,1.0,0.1111111111111111,3.0,0.375,3.0,8.0,0.3333333333333333,0.5555555555555556,1.0,1.0,1.0,0
queens,queens-9,queens-9:7,q8,1.0,0.1111111111111111,3.0,0.375,3.0,8.0,0.3333333333333333,0.5555555555555556,1.0,1.0,1.0,0
queens,queens-9,queens-9:8,q6,1.0,0.1111111111111111,2.0,0.25,2.0,8.0,0.5,0.6666666666666666,1.0,1.0,1.0,1
queens,queens-9,queens-9:8,q7,1.0,0.1111111111111111,2.0,0.25,2.0,8.0,0.5,0.6666666666666666,1.0,1.0,1.0,0
queens,queens-9,queens-9:8,q8,1.0,0.1111111111111111,2.0,0.25,2.0,8.0,0.5,0.6666666666666666,1.0,1.0,1.0,0
queens,queens-9,queens-9:9,q7,1.0,0.1111111111111111,1.0,0.125,1.0,8.0,1.0,0.7777777777777778,1.0,1.0,1.0,1
queens,queens-9,queens-9:9,q8,1.0,0.1111111111111111,1.0,0.125,1.0,8.0,1.0,0.7777777777777778,1.0,1.0,1.0,0
queens,queens-10,queens-10:1,q0,10.0,1.0,9.0,1.0,9.0,0.0,1.1111111111111112,0.0,10.0,10.0,10.0,1
queens,queens-10,queens-10:1,q1,10.0,1.0,9.0,1.0,9.0,0.0,1.1111111111111112,0.0,10.0,10.0,10.0,0
queens,queens-10,queens-10:1,q2,10.0,1.0,9.0,1.0,9.0,0.0,1.1111111111111112,0.0,10.0,10.0,10.0,0
queens,queens-10,queens-10:1,q3,10.0,1.0,9.0,1.0,9.0,0.0,1.1111111111111112,0.0,10.0,10.0,10.0,0
queens,queens-10,queens-10:1,q4,10.0,1.0,9.0,1.0,9.0,0.0,1.1111111111111112,0.0,10.0,10.0,10.0,0
queens,queens-10,queens-10:1,q5,10.0,1.0,9.0,1.0,9.0,0.0,1.1111111111111112,0.0,10.0,10.0,10.0,0
queens,queens-10,queens-10:1,q6,10.0,1.0,9.0,1.0,9.0,0.0,1.1111111111111112,0.0,10.0,10.0,10.0,0
queens,queens-10,queens-10:1,q7,10.0,1.0,9.0,1.0,9.0,0.0,1.1111111111111112,0.0,10.0,10.0,10.0,0
queens,queens-10,queens-10:1,q8,10.0,1.0,9.0,1.0,9.0,0.0,1.1111111111111112,0.0,10.0,10.0,10.0,0
queens,queens-10,queens-10:1,q9,10.0,1.0,9.0,1.0,9.0,0.0,1.1111111111111112,0.0,10.0,10.0,10.0,0
queens,queens-10,queens-10:2,q1,8.0,0.8,8.0,0.8888888888888888,8.0,1.0,1.0,0.1,8.0,8.0,8.0,1
queens,queens-10,queens-10:2,q2,8.0,0.8,8.0,0.8888888888888888,8.0,1.0,1.0,0.1,8.0,8.0,8.0,0
queens,queens-10,queens-10:2,q3,8.0,0.8,8.0,0.8888888888888888,8.0,1.0,1.0,0.1,8.0,8.0,8.0,0
queens,queens-10,queens-10:2,q4,8.0,0.8,8.0,0.8888888888888888,8.0,1.0,1.0,0.1,8.0,8.0,8.0,0
queens,queens-10,queens-10:2,q5,8.0,0.8,8.0,0.8888888888888888,8.0,1.0,1.0,0.1,8.0,8.0,8.0,0
queens,queens-10,queens-10:2,q6,8.0,0.8,8.0,0.8888888888888888,8.0,1.0,1.0,0.1,8.0,8.0,8.0,0
queens,queens-10,queens-10:2,q7,8.0,0.8,8.0,0.8888888888888888,8.0,1.0,1.0,0.1,8.0,8.0,8.0,0
queens,queens-10,queens-10:2,q8,8.0,0.8,8.0,0.8888888888888888,8.0,1.0,1.0,0.1,8.0,8.0,8.0,0
queens,queens-10,queens-10:2,q9,8.0,0.8,8.0,0.8888888888888888,8.0,1.0,1.0,0.1,8.0,8.0,8.0,0
queens,queens-10,queens-10:3,q2,6.0,0.6,7.0,0.7777777777777778,7.0,2.0,0.8571428571428571,0.2,6.0,6.142857142857143,7.0,1
queens,queens-10,queens-10:3,q3,6.0,0.6,7.0,0.7777777777777778,7.0,2.0,0.8571428571428571,0.2,6.0,6.142857142857143,7.0,0
queens,queens-10,queens-10:3,q4,6.0,0.6,7.0,0.7777777777777778,7.0,2.0,0.8571428571428571,0.2,6.0,6.142857142857143,7.0,0
queens,queens-10,queens-10:3,q5,6.0,0.6,7.0,0.7777777777777778,7.0,2.0,0.8571428571428571,0.2,6.0,6.142857142857143,7.0,0
queens,queens-10,queens-10:3,q6,6.0,0.6,7.0,0.7777777777777778,7.0,2.0,0.8571428571428571,0.2,6.0,6.142857142857143,7.0,0
queens,queens-10,queens-10:3,q7,6.0,0.6,7.0,0.7777777777777778,7.0,2.0,0.8571428571428571,0.2,6.0,6.142857142857143,7.0,0
queens,queens-10,queens-10:3,q8,6.0,0.6,7.0,0.7777777777777778,7.0,2.0,0.8571428571428571,0.2,6.0,6.142857142857143,7.0,0
queens,queens-10,queens-10:3,q9,7.0,0.7,7.0,0.7777777777777778,7.0,2.0,1.0,0.2,6.0,6.0,6.0,0
queens,queens-10,queens-10:4,q3,5.0,0.5,6.0,0.6666666666666666,6.0,3.0,0.8333333333333334,0.3,3.0,4.5,6.0,0
queens,queens-10,queens-10:4,q4,5.0,0.5,6.0,0.6666666666666666,6.0,3.0,0.8333333333333334,0.3,3.0,4.5,6.0,0
queens,queens-10,queens-10:4,q5,3.0,0.3,6.0,0.6666666666666666,6.0,3.0,0.5,0.3,4.0,4.833333333333333,6.0,1
queens,queens-10,queens-10:4,q6,4.0,0.4,6.0,0.6666666666666666,6.0,3.0,0.6666666666666666,0.3,3.0,4.666666666666667,6.0,0
queens,queens-10,queens-10:4,q7,4.0,0.4,6.0,0.6666666666666666,6.0,3.0,0.6666666666666666,0.3,3.0,4.666666666666667,6.0,0
queens,queens-10,queens-10:4,q8,5.0,0.5,6.0,0.6666666666666666,6.0,3.0,0.8333333333333334,0.3,3.0,4.5,6.0,0
queens,queens-10,queens-10:4,q9,6.0,0.6,6.0,0.6666666666666666,6.0,3.0,1.0,0.3,3.0,4.333333333333333,5.0,0
queens,queens-10,queens-10:5,q3,3.0,0.3,5.0,0.5555555555555556,5.0,6.0,0.6,0.4,2.0,3.4,5.0,0
queens,queens-10,queens-10:5,q4,2.0,0.2,5.0,0.5555555555555556,5.0,6.0,0.4,0.4,3.0,3.6,5.0,1
queens,queens-10,queens-10:5,q6,3.0,0.3,5.0,0.5555555555555556,5.0,6.0,0.6,0.4,2.0,3.4,5.0,0
queens,queens-10,queens-10:5,q7,4.0,0.4,5.0,0.5555555555555556,5.0,5.0,0.8,0.4,2.0,3.2,5.0,0
queens,queens-10,queens-10:5,q8,3.0,0.3,5.0,0.5555555555555556,5.0,6.0,0.6,0.4,2.0,3.4,5.0,0
queens,queens-10,queens-10:5,q9,5.0,0.5,5.0,0.5555555555555556,5.0,6.0,1.0,0.4,2.0,3.0,4.0,0
queens,queens-10,queens-10:6,q3,4.0,0.4,6.0,0.6666666666666666,11.0,9.0,0.36363636363636365,0.3,3.0,4.666666666666667,6.0,0
