family,instance_id,heuristic,solved,valid,nodes,seconds,inference_seconds,split,model_seed
queens,queens-10,learned_policy,True,True,12,0.03723339999851305,0.031077699983143248,leave_queens_out,23
queens,queens-10,dom_wdeg,True,True,13,0.008157900010701269,0.0,leave_queens_out,23
queens,queens-11,learned_policy,True,True,16,0.051903800005675294,0.04209609997633379,leave_queens_out,23
queens,queens-11,dom_wdeg,True,True,15,0.010847600002307445,0.0,leave_queens_out,23
queens,queens-12,learned_policy,True,True,22,0.1057003000023542,0.08727309995447285,leave_queens_out,23
queens,queens-12,dom_wdeg,True,True,12,0.008249299993622117,0.0,leave_queens_out,23
queens,queens-13,learned_policy,True,True,17,0.04754430000321008,0.035244299986516126,leave_queens_out,23
queens,queens-13,dom_wdeg,True,True,22,0.01971340000454802,0.0,leave_queens_out,23
queens,queens-14,learned_policy,True,True,100,0.27879009999742266,0.19437790011579636,leave_queens_out,23
queens,queens-14,dom_wdeg,True,True,20,0.02672349999193102,0.0,leave_queens_out,23
queens,queens-15,learned_policy,True,True,56,0.6248722000018461,0.5490668000711594,leave_queens_out,23
queens,queens-15,dom_wdeg,True,True,15,0.029233499997644685,0.0,leave_queens_out,23
queens,queens-16,learned_policy,True,True,464,2.5626665000017965,2.0012197999021737,leave_queens_out,23
queens,queens-16,dom_wdeg,True,True,16,0.062498500003130175,0.0,leave_queens_out,23
queens,queens-17,learned_policy,True,True,289,1.1954923000012059,0.8348038000112865,leave_queens_out,23
queens,queens-17,dom_wdeg,True,True,22,0.03733819999615662,0.0,leave_queens_out,23
queens,queens-18,learned_policy,True,True,1867,8.435612499990384,6.128188499860698,leave_queens_out,23
queens,queens-18,dom_wdeg,True,True,18,0.03778210000018589,0.0,leave_queens_out,23
queens,queens-19,learned_policy,True,True,756,3.0859717999992426,2.1100445998308714,leave_queens_out,23
queens,queens-19,dom_wdeg,True,True,21,0.038576500010094605,0.0,leave_queens_out,23
queens,queens-8,learned_policy,True,True,10,0.021638699996401556,0.01728709996677935,leave_queens_out,42
queens,queens-8,dom_wdeg,True,True,10,0.004827400000067428,0.0,leave_queens_out,42
queens,queens-9,learned_policy,True,True,10,0.026278600009391084,0.02199940000718925,leave_queens_out,42
queens,queens-9,dom_wdeg,True,True,10,0.004786100005730987,0.0,leave_queens_out,42
queens,queens-10,learned_policy,True,True,12,0.04833619999408256,0.04171720001613721,leave_queens_out,42
queens,queens-10,dom_wdeg,True,True,13,0.008157900010701269,0.0,leave_queens_out,42
queens,queens-11,learned_policy,True,True,15,0.06852340001205448,0.053614699994795956,leave_queens_out,42
queens,queens-11,dom_wdeg,True,True,15,0.010847600002307445,0.0,leave_queens_out,42
queens,queens-12,learned_policy,True,True,22,0.06169679999584332,0.044897899992065504,leave_queens_out,42
queens,queens-12,dom_wdeg,True,True,12,0.008249299993622117,0.0,leave_queens_out,42
queens,queens-13,learned_policy,True,True,17,0.046000000002095476,0.03368990005401429,leave_queens_out,42
queens,queens-13,dom_wdeg,True,True,22,0.01971340000454802,0.0,leave_queens_out,42
queens,queens-14,learned_policy,True,True,100,0.3352126999961911,0.24214969998865854,leave_queens_out,42
queens,queens-14,dom_wdeg,True,True,20,0.02672349999193102,0.0,leave_queens_out,42
